day,scenario,profit_min,profit_p50,profit_max
1,base,0.18590856376497114,0.3288133015935837,0.5410751061302964
3,base,0.28001466302419004,0.4956319416900161,0.813492988607068
5,base,0.2850651254722179,0.504172787461888,0.8259667868443207
7,base,0.2951554748698928,0.519562352873691,0.8480465636278179
14,base,0.36790757623967413,0.6400957848055171,1.019986699288827
28,base,0.710071400845532,1.206946529048796,1.8864609372774859
30,base,0.7784884363849169,1.324961332983628,2.08033240788509
40,base,1.6200205229522566,2.782892550427312,4.38963062649999
50,base,2.405524714471116,4.1518506754723115,6.6265887137332244
60,base,3.3957467954551532,5.8925683887254845,9.455954938703313
1,conservative,0.025525752922295482,0.04383316363012148,0.07315395787503075
3,conservative,0.03844145096320804,0.06596833199047591,0.11011381572370743
5,conservative,0.039011671992805384,0.06674141697312441,0.11136201784421956
7,conservative,0.0399860438228143,0.06837538255381329,0.11383478075339334
14,conservative,0.047774942901930274,0.08047818923508021,0.1309217818720743
28,conservative,0.08310844931255666,0.1388937975270484,0.21966875144468845
30,conservative,0.09040950274077915,0.15125958764904995,0.23904124107559865
40,conservative,0.18331431381145968,0.30615691620943786,0.4818127640549764
50,conservative,0.26441770965125444,0.445038446170682,0.704675291814101
60,conservative,0.3675954863004205,0.6244913514058201,0.995681827205882
1,upside,0.8649777053004654,1.439316335439848,2.2765334539161115
3,upside,1.3056891944946236,2.173650099266495,3.4343538223168055
5,upside,1.3354363132685985,2.2135062792325293,3.4937436204977557
7,upside,1.3886161354949031,2.2867715535582094,3.604043638622902
14,upside,1.7725756791975964,2.8424435412500113,4.407187913897884
28,upside,3.498916881484706,5.610758543009939,8.528991459920734
30,upside,3.863672826216819,6.196258626519357,9.392837528722087
40,upside,8.164361196896305,13.198704613796687,20.079060425648514
50,upside,12.205693159793507,19.94909148646636,30.430905162452206
60,upside,17.29721512483494,28.50619940747751,43.59950850977477
